,emoji,name,edit,origin
0,😀,grinning face,웃는 얼굴,미친 얼굴
1,😃,grinning face with big eyes,큰 눈을 가진 웃는 얼굴,큰 눈을 가진 웃는 얼굴
2,😄,grinning face with smiling eyes,웃는 눈을 가진 웃는 얼굴,웃는 눈을 가진 웃음 얼굴
3,😁,beaming face with smiling eyes,웃는 얼굴을 가진 빔,웃는 얼굴을 가진 빔
4,😆,grinning squinting face,웃음 소리가 나는 얼굴,웃음 소리가 나는 얼굴
5,😅,grinning face with sweat,땀을 흘리는 얼굴,땀을 흘리는 얼굴
6,🤣,rolling on the floor laughing,바닥에 구르면서 웃는 얼굴,바닥에 굴러 웃고
7,😂,face with tears of joy,기쁨의 눈물을 흘리면서 웃는 얼굴,기쁨의 눈물로 얼굴
8,🙂,slightly smiling face,약간 웃는 얼굴,약간 웃는 얼굴
9,🙃,upside-down face,거꾸로 뒤집어진 얼굴,거꾸로 얼굴
10,😉,winking face,윙크하는 얼굴,윙크 얼굴
11,😊,smiling face with smiling eyes,눈웃음 짓는 얼굴,웃는 얼굴
12,😇,smiling face with halo,천사띠와 웃는 얼굴,할로와 웃는 얼굴
13,🥰,smiling face with hearts,하트와 웃는 얼굴,마음과 웃는 얼굴
14,😍,smiling face with heart-eyes,하트 눈으로 웃는 얼굴,심장 눈을 가진 웃는 얼굴
15,🤩,star-struck,별모양 눈으로 웃는 얼굴,별이 쳤다
16,😘,face blowing a kiss,키스를 보내는 얼굴,키스를 불고 얼굴
17,😗,kissing face,키스하는 얼굴,키스 얼굴
18,☺,smiling face,웃는 얼굴,웃는 얼굴
19,😚,kissing face with closed eyes,눈 감고 키스하는 얼굴,닫힌 눈을 가진 얼굴을 키스합니다
20,😙,kissing face with smiling eyes,웃는 얼굴에 키스,웃는 얼굴에 키스
21,🥲,smiling face with tear,눈물 흘리며 웃는 얼굴,눈물을 가진 웃는 얼굴
22,😋,face savoring food,입 맛 다시는 얼굴,얼굴 맛있는 음식
23,😛,face with tongue,혀 내밀고 있는 얼굴,혀가있는 얼굴
24,😜,winking face with tongue,혀 내밀고 윙크하는 얼굴,혀로 윙크 얼굴
25,🤪,zany face,메롱한 얼굴,Zany Face.
26,😝,squinting face with tongue,찡긋하는 얼굴,혀로 얼굴을 짜증납니다
27,🤑,money-mouth face,돈 밝히는 얼굴,돈 - 입 얼굴
28,🤗,hugging face,포옹하는 얼굴,포옹 얼굴
29,🤭,face with hand over mouth,입을 손으로 얼굴,입을 손으로 얼굴
30,🤫,shushing face,조용히 하라는 손짓의 얼굴,얼굴을 빤다
31,🤔,thinking face,생각하는 얼굴,생각하면
32,🤐,zipper-mouth face,지퍼로 입을 닫고 있는 얼굴,지퍼 - 입 얼굴
33,🤨,face with raised eyebrow,눈썹이 있는 얼굴,제기 눈썹이있는 얼굴
34,😐,neutral face,무표정 얼굴,중립적 인면
35,😑,expressionless face,무례한 얼굴,무례한 얼굴
36,😶,face without mouth,입이 없는 얼굴,입이없는 얼굴
37,😶‍🌫️,⊛ face in clouds,구름과 얼굴,⊛ 구름에 얼굴
38,😏,smirking face,비웃는 얼굴,얼굴을 흔드는 얼굴
39,😒,unamused face,재미없어하는 얼굴,unamused 얼굴
40,🙄,face with rolling eyes,눈굴리는 얼굴,롤링 눈을 가진 얼굴
41,😬,grimacing face,찡그린 얼굴,찡그린 얼굴
42,😮‍💨,⊛ face exhaling,한숨쉬는 얼굴,⊛ 얼굴을 숨 깁니다
43,🤥,lying face,거짓말 하는 얼굴,거짓말 얼굴
44,😌,relieved face,안심한 얼굴,안심한 얼굴
45,😔,pensive face,생각에 잠긴 얼굴,잠겨있는 얼굴
46,😪,sleepy face,졸린 얼굴,졸린 얼굴
47,🤤,drooling face,침흘리는 얼굴,흘린 얼굴
48,😴,sleeping face,잠자는 얼굴,잠자는 얼굴
49,😷,face with medical mask,마스크를 끼고 있는 얼굴,의료 마스크와 얼굴
50,🤒,face with thermometer,온도계를 끼고 있는 얼굴,온도계가있는 얼굴
51,🤕,face with head-bandage,붕대로 머리 감고 있는 얼굴,머리 붕대로 얼굴
52,🤢,nauseated face,구역질나는 얼굴,구역질 된 얼굴
53,🤮,face vomiting,구토하는 얼굴,얼굴 구토
54,🤧,sneezing face,재채기하는 얼굴,재채기 얼굴
55,🥵,hot face,열받은 얼굴,뜨거운 얼굴
56,🥶,cold face,차가운 얼굴,차가운 얼굴
57,🥴,woozy face,일그러진 얼굴,우우 얼굴
58,😵,knocked-out face,기절한 얼굴,낡은 얼굴
59,😵‍💫,⊛ face with spiral eyes,현기증난 얼굴,나선형 눈을 가진 얼굴
60,🤯,exploding head,폭발한 얼굴,폭발 머리
61,🤠,cowboy hat face,카우보이 모자를 쓴 얼굴,카우보이 모자 얼굴
62,🥳,partying face,파티하는 얼굴,파티 얼굴
63,🥸,disguised face,위장한 얼굴,위장한 얼굴
64,😎,smiling face with sunglasses,선글라스와 웃는 얼굴,선글라스와 웃는 얼굴
65,🤓,nerd face,찐따 얼굴,머 저리 얼굴
66,🧐,face with monocle,단원이있는 얼굴,단원이있는 얼굴
67,😕,confused face,혼란스러운 얼굴,혼란스러운 얼굴
68,😟,worried face,걱정되는 얼굴,걱정되는 얼굴
69,🙁,slightly frowning face,약간 찡그린 얼굴,약간 찡그린 얼굴
70,☹,frowning face,얼어붙은 얼굴,찌르는 얼굴
71,😮,face with open mouth,궁금해하는 얼굴,열린 입으로 얼굴
72,😯,hushed face,숨죽인 얼굴,얼굴을 가리 쳤어
73,😲,astonished face,놀란 얼굴,놀란 얼굴
74,😳,flushed face,홍조를 띈 얼굴,플러시 얼굴
75,🥺,pleading face,맹세하는 얼굴,탄원 얼굴
76,😦,frowning face with open mouth,놀란 얼굴로 입벌리고 있는 얼굴,열린 입으로 찌르는 얼굴
77,😧,anguished face,고뇌하는 얼굴,고뇌 된 얼굴
78,😨,fearful face,두려운 얼굴,두려운 얼굴
79,😰,anxious face with sweat,땀 흘리는 불안한 얼굴,땀을 가진 불안한 얼굴
80,😥,sad but relieved face,슬프지 만 안심 한 얼굴,슬프지 만 안심 한 얼굴
81,😢,crying face,우는 얼굴,우는 얼굴
82,😭,loudly crying face,큰 소리로 울고있는 얼굴,큰 소리로 울고있는 얼굴
83,😱,face screaming in fear,두려움에 비명을 지르는 얼굴,두려움에 비명을 지르는 얼굴
84,😖,confounded face,혼란스러운 얼굴,혼란스러운 얼굴
85,😣,persevering face,인내하는 얼굴,얼굴을 인내한다
86,😞,disappointed face,실망한 얼굴,실망한 얼굴
87,😓,downcast face with sweat,땀을 흘리며 민망해하는 얼굴,땀을 흘리며 도달 한 얼굴
88,😩,weary face,지친 얼굴,지친 얼굴
89,😫,tired face,피곤한 얼굴,피곤한 얼굴
90,🥱,yawning face,하품 얼굴,하품 얼굴
91,😤,face with steam from nose,콧 김 나는 얼굴,코에서 증기가있는 얼굴
92,😡,pouting face,빨간 얼굴,얼굴을 삐걱 거리다
93,😠,angry face,화난 얼굴,화난 얼굴
94,🤬,face with symbols on mouth,입에 기호가 있는 얼굴,입에 기호로 얼굴
95,😈,smiling face with horns,뿔을 가진 웃는 얼굴,뿔을 가진 웃는 얼굴
96,👿,angry face with horns,뿔이있는 화난 얼굴,뿔이있는 화난 얼굴
97,💀,skull,두개골,두개골
98,☠,skull and crossbones,두개골과 crossbones.,두개골과 crossbones.
99,💩,pile of poo,똥 더미,똥 더미
100,🤡,clown face,광대 얼굴,광대 얼굴
101,👹,ogre,도깨비,오우거
102,👺,goblin,고블린,고블린
103,👻,ghost,귀신,귀신
104,👽,alien,외계인,외계인
105,👾,alien monster,외계인 괴물,외계인 괴물
106,🤖,robot,로봇,로봇
107,😺,grinning cat,미친 고양이,미친 고양이
108,😸,grinning cat with smiling eyes,웃는 눈을 가진 고양이,웃는 눈을 가진 고양이
109,😹,cat with tears of joy,기쁨의 눈물을 가진 고양이,기쁨의 눈물을 가진 고양이
110,😻,smiling cat with heart-eyes,심장 눈을 가진 고양이 웃는,심장 눈을 가진 고양이 웃는
111,😼,cat with wry smile,웃는 고양이,고양이와 함께 웃는 미소
112,😽,kissing cat,키스하는 고양이,키스 고양이
113,🙀,weary cat,지친 고양이,지친 고양이
114,😿,crying cat,울고있는 고양이,울고 고양이
115,😾,pouting cat,화난 고양이,고양이 삐 었어
116,🙈,see-no-evil monkey,눈가린 원숭이,#NAME?
117,🙉,hear-no-evil monkey,듣는 원숭이,듣고 - 악한 원숭이
118,🙊,speak-no-evil monkey,말하는 원숭이,말하기 - 악한 원숭이
119,💋,kiss mark,키스 마크,키스 마크
120,💌,love letter,연애 편지,연애 편지
121,💘,heart with arrow,화살표가있는 심장,화살표가있는 심장
122,💝,heart with ribbon,리본이있는 심장,리본이있는 심장
123,💖,sparkling heart,반짝이는 마음,반짝이는 마음
124,💗,growing heart,성장하는 마음,성장하는 마음
125,💓,beating heart,뛰는 심장,뛰는 심장
126,💞,revolving hearts,회전하는 마음,회전하는 마음
127,💕,two hearts,두개의 심장,두개의 심장
128,💟,heart decoration,심장 장식,심장 장식
129,❣,heart exclamation,심장 느낌표,심장 느낌표
130,💔,broken heart,상한 마음,상한 마음
131,❤️‍🔥,⊛ heart on fire,불의 심장,불의 심장
132,❤️‍🩹,⊛ mending heart,마음을 치료,✔ 마음을 수선하십시오
133,❤,red heart,빨간 하트,붉은 마음
134,🧡,orange heart,오렌지 하트,오렌지 심장입니다
135,💛,yellow heart,노란색 하트,노란색 심장입니다
136,💚,green heart,초록색 하트,녹색 심장입니다
137,💙,blue heart,파랑색 하트,푸른 마음
138,💜,purple heart,보라색 하트,보라색 심장
139,🤎,brown heart,갈색 하트,갈색 심장
140,🖤,black heart,검은색 하트,흑심
141,🤍,white heart,흰색 하트,흰색 심장
142,💯,hundred points,100점,백 포인트
143,💢,anger symbol,분노,분노 기호
144,💥,collision,충돌,충돌
145,💫,dizzy,어지러운,어지러운
146,💦,sweat droplets,땀 물방울,땀 물방울
147,💨,dashing away,대시,대시
148,🕳,hole,구멍,구멍
149,💣,bomb,폭탄,폭탄
150,💬,speech balloon,음성 풍선,음성 풍선
151,👁️‍🗨️,eye in speech bubble,말풍선 안에 있는 눈,연설 거품의 눈
152,🗨,left speech bubble,말풍선,왼쪽 연설 거품
153,🗯,right anger bubble,오른쪽 말풍선,오른쪽 분노 거품
154,💭,thought balloon,생각 풍선,생각 풍선
155,💤,zzz,잠자는 표시,쿨쿨
156,👋,waving hand,손 흔들기,손을 흔들며
157,🤚,raised back of hand,손 올리기,손으로 올랐다
158,🖐,hand with fingers splayed,손가락 펼치기,손가락을 가진 손을 splayed
159,✋,raised hand,손 들기,손을 제기
160,🖖,vulcan salute,경례,Vulcan 경례
161,👌,OK hand,오케이 손,ok hand.
162,🤌,pinched fingers,꼬집는 손가락,꼬집는 손가락
163,🤏,pinching hand,꼬집는 손,손을 끼 웁니다
164,✌,victory hand,브이 손,승리의 손입니다
165,🤞,crossed fingers,교차한 손,교차 된 손가락
166,🤟,love-you gesture,사랑의 제스처,사랑 - 제스처
167,🤘,sign of the horns,뿔모양 손,뿔의 서명
168,🤙,call me hand,전화하는 손 모양,나 한테 전화 해
169,👈,backhand index pointing left,왼쪽 가리키는 손,백핸드 색인 가리키는 왼쪽
170,👉,backhand index pointing right,오른쪽 가리키는 손,백핸드 색인을 가리키는 오른쪽
171,👆,backhand index pointing up,위쪽 가리키는 손,백핸드 색인을 가리키는 것
172,🖕,middle finger,가운데 손가락,가운데 손가락
173,👇,backhand index pointing down,아래 가리키는 손,백핸드 인덱스가 가리키는 것입니다
174,☝,index pointing up,중지로 가르키는 손,인덱스 가리키는 것입니다
175,👍,thumbs up,엄지손가락 올리기,엄지 손가락 최대
176,👎,thumbs down,엄지손가락 내리기,엄지 손가락
177,✊,raised fist,주먹 올리기,제기 된 주먹
178,👊,oncoming fist,다가오는 주먹,다가오는 주먹
179,🤛,left-facing fist,왼쪽으로 치는 주먹,왼쪽으로 향하는 주먹
180,🤜,right-facing fist,오른쪽으로 치는 주먹,오른쪽 마주하는 주먹
181,👏,clapping hands,손뼉치기,박수 핸즈프리
182,🙌,raising hands,두 손 들기,손을 올리고
183,👐,open hands,두 손 열기,손을 엽니 다
184,🤲,palms up together,손바닥 붙이기,함께 손바닥
185,🤝,handshake,악수,악수
186,🙏,folded hands,손바닥 포개기,접힌 손
187,✍,writing hand,글씨쓰는 손,쓰기 손
188,💅,nail polish,매니큐어,매니큐어
189,🤳,selfie,셀카,셀카.
190,💪,flexed biceps,팔 근육,굴곡 된 팔뚝
191,🦾,mechanical arm,기계 팔,기계적 팔
192,🦿,mechanical leg,기계 다리,기계 다리
193,🦵,leg,다리,다리
194,🦶,foot,발,발
195,👂,ear,귀,귀
196,🦻,ear with hearing aid,보청기가있는 귀,보청기가있는 귀
197,👃,nose,코,코
198,🧠,brain,뇌,뇌
199,🫀,anatomical heart,해부학적인 마음,해부학적인 마음
200,🫁,lungs,폐,폐
201,🦷,tooth,이빨,이빨
202,🦴,bone,뼈,뼈
203,👀,eyes,눈,눈
204,👁,eye,눈,눈
205,👅,tongue,혀,혀
206,👄,mouth,입,입
207,👶,baby,아기,아기
208,🧒,child,아이,아이
209,👦,boy,소년,소년
210,👧,girl,소녀,소녀
211,🧑,person,사람,사람
212,👱,person: blond hair,사람 : 금발 머리,사람 : 금발 머리
213,👨,man,남성,남성
214,🧔,person: beard,수염있는 사람,사람 : 수염
215,🧔‍♂️,⊛ man: beard,수염있는 남자,⊛ 남자 : 수염
216,🧔‍♀️,⊛ woman: beard,수염있는 여자,⊛ 여자 : 수염
217,👨‍🦰,man: red hair,빨간머리 남자,남자 : 빨간 머리
218,👨‍🦱,man: curly hair,곱슬머리 남자,남자 : 곱슬 머리
219,👨‍🦳,man: white hair,백발의 남자,남자 : 흰 머리카락
220,👨‍🦲,man: bald,대머리 남자,남자 : 곧
221,👩,woman,여성,여성
222,👩‍🦰,woman: red hair,빨간 머리 여자,여자 : 빨간 머리카락
223,🧑‍🦰,person: red hair,빨간머리 사람,사람 : 빨간 머리카락
224,👩‍🦱,woman: curly hair,곱슬머리 여자,여자 : 곱슬 머리
225,🧑‍🦱,person: curly hair,곱슬머리 사람,사람 : 곱슬 머리
226,👩‍🦳,woman: white hair,백발 여자,여자 : 흰색 머리카락
227,🧑‍🦳,person: white hair,백발 사람,사람 : 흰 머리카락
228,👩‍🦲,woman: bald,대머리 여자,여자 : 대머리
229,🧑‍🦲,person: bald,대머리 사람,사람 : 곧
230,👱‍♀️,woman: blond hair,금발 머리 여자,여자 : 금발 머리
231,👱‍♂️,man: blond hair,금발머리 남자,남자 : 금발 머리
